Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
HTC12-1,W,63.73,0.02,19.34,0.42,0.10,0.01,0.47,0.12,0.74,4.82,9.66,0.21,0.03,0.11,0.08,0.09,0.01,0.03,0.04,0.07,0.10,0.11,2.931,0.001,1.048,0.015,0.004,0.001,0.023,0.003,0.013,0.430,0.567,5.035,0.010,0.002,0.011,0.006,0.007,0.001,0.003,0.002,0.003,0.018,0.013,0.022,0.416,0.549,0.013
HTC12-3,U,64.38,0.02,18.53,0.69,0.10,0.01,0.02,0.13,1.03,3.00,12.83,0.21,0.00,0.11,0.09,0.09,0.01,0.03,0.04,0.08,0.08,0.13,2.960,0.001,1.004,0.024,0.004,0.001,0.001,0.003,0.019,0.267,0.752,5.036,0.010,0.000,0.011,0.006,0.007,0.001,0.003,0.002,0.003,0.014,0.015,0.001,0.257,0.724,0.018
HTC12-3,U,64.05,0.10,18.74,0.79,0.09,0.01,0.02,0.15,1.18,2.66,12.58,0.21,0.03,0.11,0.10,0.07,0.00,0.02,0.04,0.08,0.08,0.13,2.953,0.003,1.018,0.027,0.004,0.001,0.001,0.004,0.021,0.238,0.740,5.010,0.010,0.002,0.011,0.007,0.005,0.000,0.002,0.002,0.003,0.014,0.015,0.001,0.238,0.740,0.021
HTC12-3,U,65.00,0.02,18.84,0.59,0.09,0.01,0.02,0.09,1.01,3.16,12.01,0.21,0.03,0.11,0.09,0.00,0.00,0.00,0.04,0.08,0.08,0.13,2.967,0.001,1.013,0.020,0.003,0.001,0.001,0.002,0.018,0.280,0.699,5.005,0.010,0.002,0.011,0.006,0.000,0.000,0.000,0.002,0.003,0.014,0.015,0.001,0.280,0.701,0.018
HTC12-3,U,64.05,0.02,18.45,0.77,0.10,0.01,0.02,0.17,1.18,2.04,13.18,0.21,0.04,0.11,0.09,0.09,0.01,0.01,0.04,0.08,0.07,0.13,2.967,0.001,1.007,0.027,0.004,0.001,0.001,0.005,0.021,0.183,0.779,4.996,0.010,0.003,0.011,0.006,0.007,0.001,0.001,0.002,0.003,0.012,0.015,0.001,0.186,0.791,0.022
HTC12-3,U,65.02,0.02,18.18,0.63,0.08,0.01,0.02,0.09,0.07,2.01,14.07,0.21,0.02,0.10,0.09,0.08,0.01,0.02,0.04,0.06,0.07,0.14,2.989,0.001,0.985,0.022,0.003,0.001,0.001,0.002,0.001,0.179,0.825,5.009,0.010,0.001,0.010,0.006,0.006,0.001,0.002,0.002,0.002,0.012,0.016,0.001,0.178,0.820,0.001
HTC12-3,U,63.54,0.07,18.40,0.68,0.10,0.01,0.02,0.24,1.40,2.39,12.61,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.09,0.07,0.13,2.961,0.002,1.011,0.024,0.004,0.001,0.001,0.006,0.026,0.216,0.750,5.002,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.013,0.015,0.001,0.218,0.756,0.026
HTC12-3,U,64.55,0.02,18.58,0.62,0.09,0.01,0.02,0.09,0.68,2.75,12.68,0.21,0.00,0.11,0.09,0.09,0.01,0.02,0.04,0.07,0.08,0.13,2.970,0.001,1.008,0.021,0.004,0.001,0.001,0.002,0.012,0.245,0.744,5.009,0.010,0.000,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.001,0.245,0.742,0.012
HTC12-3,U,64.43,0.10,18.81,0.39,0.09,0.01,0.04,0.24,1.17,3.67,11.54,0.21,0.03,0.11,0.08,0.09,0.02,0.02,0.04,0.08,0.09,0.12,2.956,0.003,1.017,0.013,0.003,0.001,0.002,0.006,0.021,0.326,0.675,5.026,0.010,0.002,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.016,0.014,0.002,0.319,0.659,0.021
HTC12-3,U,64.79,0.02,18.57,0.44,0.10,0.01,0.06,0.18,0.57,3.66,10.60,0.21,0.03,0.11,0.09,0.09,0.02,0.02,0.04,0.07,0.09,0.12,2.983,0.001,1.008,0.015,0.004,0.001,0.003,0.005,0.010,0.327,0.623,4.979,0.010,0.002,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.016,0.014,0.003,0.339,0.647,0.011
HTC12-3,U,63.63,0.02,18.49,0.88,0.10,0.01,0.04,0.16,1.66,2.19,12.95,0.21,0.03,0.11,0.10,0.08,0.01,0.02,0.04,0.10,0.07,0.13,2.955,0.001,1.012,0.031,0.004,0.001,0.002,0.004,0.030,0.197,0.767,5.005,0.010,0.002,0.011,0.007,0.006,0.001,0.002,0.002,0.004,0.013,0.015,0.002,0.198,0.770,0.030
HTC12-3,U,64.40,0.06,18.80,0.55,0.09,0.01,0.02,0.18,0.70,2.44,12.16,0.21,0.03,0.11,0.09,0.08,0.01,0.02,0.04,0.07,0.07,0.13,2.972,0.002,1.022,0.019,0.004,0.001,0.001,0.005,0.013,0.218,0.716,4.972,0.010,0.002,0.011,0.006,0.006,0.001,0.002,0.002,0.003,0.012,0.015,0.001,0.230,0.755,0.013
HTC12-3,U,64.89,0.02,18.87,0.62,0.09,0.01,0.02,0.17,0.65,2.89,12.71,0.21,0.03,0.11,0.09,0.09,0.00,0.00,0.04,0.07,0.08,0.13,2.962,0.001,1.015,0.021,0.003,0.001,0.001,0.004,0.012,0.256,0.740,5.017,0.010,0.002,0.011,0.006,0.007,0.000,0.000,0.002,0.003,0.014,0.015,0.001,0.254,0.734,0.012
HTC12-3,U,64.75,0.02,18.49,0.45,0.09,0.01,0.02,0.14,0.77,2.41,13.53,0.21,0.04,0.11,0.09,0.00,0.01,0.01,0.04,0.07,0.07,0.13,2.974,0.001,1.001,0.016,0.004,0.001,0.001,0.004,0.014,0.215,0.793,5.021,0.010,0.003,0.011,0.006,0.000,0.001,0.001,0.002,0.003,0.012,0.015,0.001,0.210,0.776,0.014
HTC12-3,U,65.04,0.02,19.55,0.47,0.10,0.01,0.10,0.18,0.46,3.37,11.83,0.21,0.03,0.11,0.08,0.09,0.01,0.02,0.04,0.07,0.09,0.12,2.948,0.001,1.044,0.016,0.004,0.001,0.005,0.005,0.008,0.296,0.684,5.011,0.010,0.002,0.011,0.005,0.007,0.001,0.002,0.002,0.002,0.016,0.014,0.005,0.298,0.689,0.008
HTC12-3,U,65.15,0.02,19.03,0.34,0.09,0.01,0.08,0.27,1.14,3.25,11.91,0.21,0.03,0.11,0.08,0.15,0.01,0.02,0.04,0.09,0.08,0.12,2.963,0.001,1.020,0.012,0.003,0.001,0.004,0.007,0.020,0.287,0.691,5.009,0.011,0.002,0.011,0.005,0.012,0.001,0.002,0.002,0.003,0.014,0.014,0.004,0.286,0.690,0.020
HTC12-3,U,63.68,0.10,19.12,0.83,0.10,0.01,0.09,0.36,1.51,2.93,12.41,0.21,0.03,0.11,0.10,0.10,0.00,0.02,0.04,0.09,0.08,0.13,2.928,0.003,1.036,0.029,0.004,0.001,0.004,0.010,0.027,0.261,0.728,5.031,0.011,0.002,0.011,0.007,0.008,0.000,0.002,0.002,0.003,0.014,0.015,0.004,0.256,0.713,0.027
HTC12-3,U,64.42,0.07,18.66,0.60,0.09,0.01,0.07,0.35,1.12,2.95,12.23,0.21,0.03,0.11,0.09,0.08,0.02,0.02,0.04,0.08,0.08,0.13,2.961,0.002,1.011,0.021,0.004,0.001,0.003,0.009,0.020,0.263,0.717,5.011,0.010,0.002,0.011,0.006,0.006,0.003,0.002,0.002,0.003,0.014,0.015,0.003,0.262,0.715,0.020
HTC12-3,U,64.92,0.07,18.12,0.63,0.10,0.01,0.04,0.16,0.87,2.85,12.55,0.21,0.03,0.10,0.09,0.09,0.01,0.02,0.04,0.08,0.08,0.13,2.984,0.002,0.982,0.022,0.004,0.001,0.002,0.004,0.016,0.254,0.736,5.007,0.010,0.002,0.010,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.002,0.252,0.730,0.016
HTC12-3,U,64.59,0.07,18.57,1.07,0.09,0.01,0.02,0.17,0.98,2.67,12.77,0.21,0.03,0.11,0.10,0.09,0.01,0.03,0.04,0.08,0.08,0.13,2.959,0.002,1.002,0.037,0.003,0.001,0.001,0.005,0.018,0.237,0.746,5.011,0.010,0.002,0.011,0.007,0.007,0.001,0.003,0.002,0.003,0.014,0.015,0.001,0.237,0.745,0.018
HTC12-3,U,64.38,0.02,18.79,0.45,0.10,0.01,0.02,0.12,0.62,2.75,12.02,0.21,0.02,0.11,0.08,0.09,0.02,0.02,0.04,0.07,0.08,0.13,2.972,0.001,1.022,0.016,0.004,0.001,0.001,0.003,0.011,0.246,0.708,4.985,0.010,0.001,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.014,0.015,0.001,0.255,0.733,0.012
HTC12-3,U,64.90,0.06,18.96,0.79,0.11,0.01,0.11,0.16,0.50,4.45,10.66,0.21,0.03,0.11,0.10,0.10,0.01,0.02,0.04,0.07,0.10,0.12,2.951,0.002,1.016,0.027,0.004,0.001,0.005,0.004,0.009,0.392,0.618,5.030,0.011,0.002,0.011,0.007,0.008,0.001,0.002,0.002,0.002,0.017,0.014,0.005,0.383,0.603,0.009
HTC12-3,U,64.80,0.02,18.51,0.66,0.10,0.01,0.05,0.18,0.86,2.84,12.43,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.07,0.08,0.13,2.973,0.001,1.001,0.023,0.004,0.001,0.002,0.005,0.015,0.253,0.727,5.005,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.014,0.015,0.002,0.253,0.729,0.015
HTC12-3,U,64.49,0.08,19.01,0.38,0.11,0.01,0.02,0.20,1.17,2.28,12.87,0.21,0.03,0.11,0.08,0.09,0.02,0.02,0.04,0.08,0.07,0.13,2.961,0.003,1.029,0.013,0.004,0.001,0.001,0.005,0.021,0.203,0.754,4.994,0.010,0.002,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.012,0.015,0.001,0.207,0.770,0.022
HTC12-3,U,64.30,0.02,19.05,0.60,0.10,0.01,0.02,0.31,1.18,2.44,13.01,0.21,0.03,0.11,0.09,0.09,0.01,0.03,0.04,0.08,0.07,0.13,2.949,0.001,1.030,0.021,0.004,0.001,0.001,0.008,0.021,0.217,0.761,5.014,0.010,0.002,0.011,0.006,0.007,0.001,0.003,0.002,0.003,0.012,0.015,0.001,0.217,0.761,0.021
HTC12-3,U,64.77,0.02,19.06,0.50,0.11,0.01,0.02,0.22,1.02,2.72,12.64,0.21,0.03,0.11,0.09,0.12,0.01,0.02,0.04,0.08,0.08,0.13,2.958,0.001,1.026,0.017,0.004,0.001,0.001,0.006,0.018,0.241,0.736,5.009,0.011,0.002,0.011,0.006,0.009,0.001,0.002,0.002,0.003,0.014,0.015,0.001,0.242,0.739,0.018
HTC12-3,U,65.21,0.09,18.61,0.65,0.10,0.01,0.02,0.11,0.74,2.80,12.57,0.21,0.03,0.11,0.09,0.10,0.02,0.01,0.04,0.08,0.08,0.13,2.974,0.003,1.000,0.022,0.004,0.001,0.001,0.003,0.013,0.248,0.731,5.001,0.010,0.002,0.011,0.006,0.008,0.003,0.001,0.002,0.003,0.014,0.015,0.001,0.249,0.736,0.013
HTC12-3,U,64.65,0.08,19.14,0.57,0.10,0.01,0.06,0.23,1.35,2.71,11.77,0.21,0.03,0.11,0.09,0.09,0.02,0.02,0.04,0.09,0.08,0.12,2.958,0.003,1.032,0.020,0.004,0.001,0.003,0.006,0.024,0.240,0.687,4.977,0.010,0.002,0.011,0.006,0.007,0.003,0.002,0.002,0.003,0.014,0.014,0.003,0.252,0.720,0.025
HTC12-3,U,64.66,0.02,19.44,0.28,0.10,0.01,0.13,0.26,0.87,3.54,11.48,0.21,0.03,0.11,0.08,0.08,0.00,0.02,0.04,0.08,0.09,0.12,2.947,0.001,1.044,0.010,0.004,0.001,0.006,0.007,0.016,0.313,0.667,5.015,0.010,0.002,0.011,0.005,0.006,0.000,0.002,0.002,0.003,0.016,0.014,0.006,0.312,0.666,0.016
HTC12-3,U,64.51,0.09,19.14,0.28,0.09,0.01,0.13,0.32,1.38,3.13,11.74,0.21,0.03,0.11,0.09,0.16,0.02,0.02,0.04,0.09,0.08,0.12,2.953,0.003,1.032,0.010,0.003,0.001,0.006,0.008,0.025,0.278,0.685,5.005,0.011,0.002,0.011,0.006,0.012,0.003,0.002,0.002,0.003,0.014,0.014,0.006,0.279,0.689,0.025
HTC12-3,U,63.97,0.10,18.84,1.04,0.10,0.01,0.02,0.09,1.73,2.30,12.88,0.21,0.03,0.11,0.10,0.10,0.01,0.02,0.04,0.10,0.07,0.13,2.943,0.003,1.022,0.036,0.004,0.001,0.001,0.002,0.031,0.205,0.756,5.005,0.011,0.002,0.011,0.007,0.008,0.001,0.002,0.002,0.004,0.012,0.015,0.001,0.207,0.761,0.031
HTC12-3,U,65.14,0.09,18.82,0.56,0.09,0.01,0.02,0.20,1.26,2.31,12.97,0.21,0.03,0.11,0.09,0.08,0.00,0.00,0.04,0.09,0.07,0.13,2.968,0.003,1.011,0.019,0.003,0.001,0.001,0.005,0.022,0.204,0.754,4.992,0.010,0.002,0.011,0.006,0.006,0.000,0.000,0.002,0.003,0.012,0.015,0.001,0.208,0.768,0.023
HTC12-3,U,65.97,0.02,18.64,0.37,0.10,0.01,0.09,0.21,0.39,3.49,11.95,0.21,0.03,0.11,0.09,0.10,0.02,0.02,0.04,0.07,0.09,0.12,2.985,0.001,0.994,0.013,0.004,0.001,0.004,0.006,0.007,0.306,0.690,5.009,0.010,0.002,0.011,0.006,0.008,0.003,0.002,0.002,0.002,0.016,0.014,0.004,0.304,0.685,0.007
HTC12-3,U,65.09,0.06,18.90,0.48,0.09,0.01,0.08,0.23,0.87,3.34,11.78,0.21,0.03,0.11,0.09,0.08,0.01,0.02,0.04,0.08,0.09,0.12,2.965,0.002,1.015,0.016,0.003,0.001,0.004,0.006,0.016,0.295,0.684,5.007,0.010,0.002,0.011,0.006,0.006,0.001,0.002,0.002,0.003,0.016,0.014,0.004,0.295,0.685,0.016
HTC12-3,U,64.41,0.06,18.73,0.50,0.09,0.01,0.04,0.27,1.39,3.57,11.34,0.21,0.03,0.11,0.09,0.08,0.01,0.02,0.04,0.09,0.09,0.12,2.959,0.002,1.014,0.017,0.004,0.001,0.002,0.007,0.025,0.318,0.665,5.014,0.010,0.002,0.011,0.006,0.006,0.001,0.002,0.002,0.003,0.016,0.014,0.002,0.315,0.658,0.025
HTC12-3,U,65.37,0.02,18.53,0.69,0.09,0.01,0.08,0.14,0.31,3.60,11.05,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.07,0.09,0.12,2.985,0.001,0.997,0.024,0.003,0.001,0.004,0.004,0.006,0.319,0.644,4.985,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.016,0.014,0.004,0.328,0.662,0.006
HTC12-3,U,65.22,0.02,19.18,0.43,0.10,0.01,0.02,0.20,1.18,3.50,10.72,0.21,0.03,0.11,0.08,0.09,0.02,0.02,0.04,0.08,0.09,0.12,2.968,0.001,1.029,0.015,0.004,0.001,0.001,0.005,0.021,0.309,0.622,4.975,0.010,0.002,0.011,0.005,0.007,0.003,0.002,0.002,0.003,0.016,0.014,0.001,0.324,0.653,0.022
HTC12-3,U,65.10,0.06,19.19,0.64,0.10,0.01,0.02,0.21,1.16,3.25,12.15,0.21,0.03,0.11,0.09,0.11,0.00,0.02,0.04,0.08,0.08,0.13,2.950,0.002,1.025,0.022,0.004,0.001,0.001,0.006,0.021,0.286,0.702,5.018,0.010,0.002,0.011,0.006,0.008,0.000,0.002,0.002,0.003,0.014,0.015,0.001,0.283,0.696,0.020
HTC12-3,U,65.08,0.02,19.31,0.54,0.11,0.01,0.02,0.30,1.51,3.68,11.28,0.21,0.03,0.11,0.09,0.10,0.01,0.02,0.04,0.09,0.09,0.12,2.948,0.001,1.031,0.018,0.004,0.001,0.001,0.008,0.027,0.323,0.652,5.014,0.010,0.002,0.011,0.006,0.008,0.001,0.002,0.002,0.003,0.016,0.014,0.001,0.322,0.650,0.027
HTC12-3,U,65.19,0.02,19.59,0.29,0.10,0.01,0.09,0.20,1.18,3.12,11.38,0.21,0.02,0.11,0.08,0.00,0.00,0.02,0.04,0.09,0.08,0.12,2.956,0.001,1.047,0.010,0.004,0.001,0.004,0.005,0.021,0.274,0.658,4.981,0.010,0.001,0.011,0.005,0.000,0.000,0.002,0.002,0.003,0.014,0.014,0.005,0.286,0.687,0.022
HTC12-3,U,64.68,0.02,19.19,0.63,0.10,0.01,0.12,0.20,0.70,3.52,11.84,0.21,0.03,0.11,0.09,0.10,0.02,0.02,0.04,0.07,0.09,0.12,2.947,0.001,1.030,0.022,0.004,0.001,0.006,0.005,0.012,0.311,0.688,5.026,0.010,0.002,0.011,0.006,0.008,0.003,0.002,0.002,0.002,0.016,0.014,0.006,0.306,0.676,0.012
HX12-1,MCZl,63.55,0.02,19.09,0.25,0.06,0.01,0.13,0.11,0.52,3.44,12.57,0.21,0.03,0.11,0.06,0.08,0.00,0.02,0.03,0.07,0.09,0.13,2.939,0.001,1.040,0.009,0.002,0.001,0.006,0.003,0.009,0.308,0.742,5.061,0.010,0.002,0.011,0.004,0.006,0.000,0.002,0.002,0.003,0.016,0.015,0.006,0.289,0.696,0.009
HX12-1,MCZl,64.05,0.02,19.39,0.06,0.06,0.01,0.16,0.11,0.62,3.15,12.57,0.21,0.00,0.11,0.06,0.05,0.00,0.02,0.04,0.07,0.08,0.13,2.943,0.001,1.050,0.002,0.002,0.001,0.008,0.003,0.011,0.281,0.737,5.039,0.010,0.000,0.011,0.004,0.004,0.000,0.002,0.002,0.003,0.014,0.015,0.008,0.271,0.711,0.011
HX12-1,MCZl,63.88,0.02,18.76,0.07,0.05,0.01,0.09,0.09,0.98,3.28,12.37,0.21,0.04,0.11,0.07,0.04,0.02,0.02,0.04,0.08,0.08,0.13,2.959,0.001,1.024,0.002,0.002,0.001,0.004,0.002,0.018,0.295,0.731,5.039,0.010,0.003,0.011,0.005,0.003,0.003,0.002,0.002,0.003,0.014,0.015,0.004,0.281,0.698,0.017
HX12-1,MCZl,64.33,0.02,19.36,0.07,0.05,0.01,0.13,0.08,0.77,3.18,12.83,0.21,0.00,0.11,0.07,0.05,0.01,0.02,0.03,0.07,0.08,0.13,2.944,0.001,1.044,0.002,0.002,0.001,0.006,0.002,0.014,0.282,0.749,5.047,0.010,0.000,0.011,0.005,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.006,0.268,0.712,0.013
HX12-1,MCZl,64.73,0.02,19.26,0.06,0.05,0.01,0.08,0.09,0.61,3.38,12.63,0.21,0.03,0.11,0.06,0.04,0.00,0.02,0.04,0.07,0.09,0.13,2.953,0.001,1.035,0.002,0.002,0.001,0.004,0.002,0.011,0.299,0.735,5.045,0.010,0.002,0.011,0.004,0.003,0.000,0.002,0.002,0.002,0.016,0.015,0.004,0.285,0.701,0.010
HX12-1,MCZl,64.09,0.02,19.33,0.06,0.05,0.01,0.10,0.13,0.92,3.17,12.53,0.21,0.03,0.11,0.06,0.06,0.00,0.02,0.04,0.07,0.08,0.13,2.945,0.001,1.047,0.002,0.002,0.001,0.005,0.003,0.017,0.282,0.734,5.039,0.010,0.002,0.011,0.004,0.005,0.000,0.002,0.002,0.003,0.014,0.015,0.005,0.272,0.707,0.016
HX12-1,MCZl,63.21,0.02,19.22,0.07,0.05,0.01,0.13,0.04,0.98,3.08,12.43,0.21,0.03,0.11,0.06,0.06,0.00,0.02,0.04,0.08,0.08,0.13,2.940,0.001,1.053,0.002,0.002,0.001,0.006,0.001,0.018,0.278,0.737,5.039,0.010,0.002,0.011,0.004,0.005,0.000,0.002,0.002,0.003,0.014,0.015,0.006,0.267,0.709,0.017
HX12-1,MCZl,64.05,0.02,18.88,0.21,0.06,0.01,0.09,0.14,0.51,2.92,12.27,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.08,0.13,2.965,0.001,1.030,0.007,0.002,0.001,0.004,0.004,0.009,0.262,0.724,5.009,0.010,0.002,0.011,0.004,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.004,0.262,0.724,0.009
HX12-1,MCZl,63.80,0.02,19.48,0.13,0.05,0.01,0.10,0.04,0.77,3.24,12.17,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.08,0.13,2.940,0.001,1.058,0.005,0.002,0.001,0.005,0.001,0.014,0.289,0.715,5.030,0.010,0.002,0.011,0.004,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.005,0.283,0.699,0.014
HX12-1,MCZl,63.51,0.02,19.06,0.07,0.06,0.01,0.12,0.11,0.92,3.44,12.32,0.21,0.00,0.11,0.06,0.05,0.00,0.03,0.04,0.08,0.09,0.13,2.943,0.001,1.041,0.002,0.002,0.001,0.006,0.003,0.017,0.309,0.728,5.053,0.010,0.000,0.011,0.004,0.004,0.000,0.003,0.002,0.003,0.016,0.015,0.006,0.292,0.687,0.016
HX12-1,MCZl,62.94,0.02,19.35,0.07,0.05,0.01,0.18,0.21,1.18,3.29,11.79,0.21,0.04,0.11,0.07,0.04,0.01,0.03,0.04,0.08,0.08,0.13,2.932,0.001,1.062,0.002,0.002,0.001,0.009,0.006,0.022,0.297,0.701,5.034,0.010,0.003,0.011,0.005,0.003,0.001,0.003,0.002,0.003,0.014,0.015,0.009,0.289,0.681,0.021
HX12-1,MCZl,62.28,0.02,19.83,0.16,0.05,0.03,0.09,0.04,0.75,2.94,12.43,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.03,0.07,0.08,0.13,2.912,0.001,1.093,0.006,0.002,0.002,0.005,0.001,0.014,0.266,0.741,5.042,0.010,0.002,0.011,0.004,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.004,0.260,0.722,0.013
HX12-1,MCZl,63.08,0.02,19.14,0.07,0.05,0.01,0.12,0.11,0.85,3.45,12.48,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.09,0.13,2.934,0.001,1.049,0.002,0.002,0.001,0.006,0.003,0.015,0.311,0.740,5.065,0.010,0.002,0.011,0.004,0.004,0.001,0.002,0.002,0.003,0.016,0.015,0.006,0.290,0.690,0.014
HX12-1,MCZl,63.20,0.02,19.24,0.06,0.06,0.01,0.16,0.13,1.22,3.02,12.18,0.21,0.03,0.11,0.06,0.06,0.00,0.02,0.04,0.08,0.08,0.13,2.940,0.001,1.055,0.002,0.002,0.001,0.008,0.004,0.022,0.272,0.723,5.029,0.010,0.002,0.011,0.004,0.005,0.000,0.002,0.002,0.003,0.014,0.015,0.008,0.266,0.705,0.022
HX12-1,MCZl,63.82,0.02,19.89,0.06,0.06,0.01,0.13,0.04,0.55,3.23,12.74,0.21,0.03,0.11,0.06,0.06,0.02,0.02,0.04,0.07,0.08,0.13,2.924,0.001,1.074,0.002,0.002,0.001,0.006,0.001,0.010,0.287,0.745,5.053,0.010,0.002,0.011,0.004,0.005,0.003,0.002,0.002,0.003,0.014,0.015,0.006,0.274,0.711,0.009
HX12-1,MCZl,63.13,0.02,19.20,0.07,0.06,0.01,0.10,0.04,0.87,2.91,12.66,0.21,0.03,0.11,0.07,0.05,0.02,0.02,0.04,0.08,0.08,0.13,2.941,0.001,1.054,0.002,0.002,0.001,0.005,0.001,0.016,0.263,0.752,5.038,0.010,0.002,0.011,0.005,0.004,0.003,0.002,0.002,0.003,0.014,0.015,0.005,0.254,0.726,0.015
HX12-2,MCZu,64.74,0.02,18.25,0.06,0.07,0.01,0.14,0.04,1.15,2.74,12.12,0.21,0.03,0.11,0.07,0.00,0.01,0.02,0.03,0.08,0.08,0.13,2.995,0.001,0.995,0.002,0.003,0.001,0.007,0.001,0.021,0.246,0.715,4.986,0.010,0.002,0.011,0.005,0.000,0.001,0.002,0.002,0.003,0.014,0.015,0.007,0.249,0.723,0.021
HX12-2,MCZu,65.13,0.02,18.83,0.22,0.08,0.01,0.15,0.04,1.37,2.76,12.20,0.21,0.03,0.11,0.06,0.07,0.00,0.03,0.04,0.09,0.08,0.13,2.976,0.001,1.014,0.008,0.003,0.001,0.007,0.001,0.025,0.244,0.711,4.990,0.010,0.002,0.011,0.004,0.005,0.000,0.003,0.002,0.003,0.014,0.015,0.007,0.248,0.720,0.025
HX12-2,MCZu,63.43,0.02,19.54,0.13,0.05,0.01,0.09,0.04,1.72,2.68,12.36,0.21,0.00,0.11,0.06,0.04,0.01,0.02,0.03,0.09,0.08,0.13,2.935,0.001,1.065,0.005,0.002,0.001,0.004,0.001,0.031,0.240,0.729,5.015,0.010,0.000,0.011,0.004,0.003,0.001,0.002,0.002,0.003,0.014,0.015,0.004,0.239,0.725,0.031
HX12-2,MCZu,63.23,0.03,19.70,0.05,0.05,0.01,0.15,0.04,1.79,2.74,12.23,0.21,0.03,0.11,0.06,0.04,0.02,0.02,0.04,0.10,0.08,0.13,2.928,0.001,1.075,0.002,0.002,0.001,0.007,0.001,0.032,0.246,0.722,5.017,0.010,0.002,0.011,0.004,0.003,0.003,0.002,0.002,0.004,0.014,0.015,0.007,0.244,0.716,0.032
HX12-2,MCZu,63.33,0.02,19.53,0.06,0.05,0.01,0.15,0.04,2.17,2.96,12.05,0.21,0.03,0.11,0.06,0.06,0.01,0.02,0.04,0.10,0.08,0.13,2.930,0.001,1.065,0.002,0.002,0.001,0.007,0.001,0.039,0.265,0.711,5.024,0.010,0.002,0.011,0.004,0.005,0.001,0.002,0.002,0.004,0.014,0.015,0.007,0.259,0.695,0.038
HX12-2,MCZu,62.94,0.02,19.45,0.11,0.05,0.01,0.13,0.04,1.59,3.40,13.12,0.21,0.03,0.11,0.05,0.04,0.00,0.02,0.04,0.09,0.09,0.14,2.912,0.001,1.060,0.004,0.002,0.001,0.006,0.001,0.029,0.305,0.774,5.095,0.010,0.002,0.011,0.003,0.003,0.000,0.002,0.002,0.003,0.016,0.016,0.006,0.274,0.695,0.026
HX12-2,MCZu,62.20,0.02,19.36,0.06,0.05,0.01,0.15,0.04,1.23,3.07,12.41,0.21,0.03,0.11,0.07,0.05,0.01,0.02,0.03,0.08,0.08,0.13,2.921,0.001,1.072,0.002,0.002,0.001,0.008,0.001,0.023,0.280,0.743,5.053,0.010,0.002,0.011,0.005,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.007,0.265,0.706,0.021
HX12-2,MCZu,63.92,0.02,19.72,0.06,0.05,0.01,0.13,0.04,1.34,3.37,12.77,0.21,0.02,0.11,0.04,0.05,0.00,0.02,0.04,0.09,0.09,0.13,2.923,0.001,1.063,0.002,0.002,0.001,0.006,0.001,0.024,0.299,0.745,5.066,0.010,0.001,0.011,0.003,0.004,0.000,0.002,0.002,0.003,0.016,0.015,0.006,0.278,0.694,0.022
HX12-2,MCZu,62.31,0.02,19.69,0.17,0.05,0.01,0.18,0.04,1.38,3.23,12.35,0.21,0.00,0.11,0.06,0.05,0.01,0.02,0.04,0.09,0.08,0.13,2.907,0.001,1.083,0.006,0.002,0.001,0.009,0.001,0.025,0.292,0.735,5.061,0.010,0.000,0.011,0.004,0.004,0.001,0.002,0.002,0.003,0.014,0.015,0.008,0.275,0.692,0.024
