Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,An,Ab,Or,Cn
BB11-1,U,64.85,0.02,18.61,0.60,0.10,0.01,0.02,0.15,1.12,1.31,14.67,0.21,0.03,0.11,0.08,0.11,0.01,0.01,0.04,0.08,0.05,0.14,2.972,0.001,1.005,0.021,0.004,0.001,0.001,0.004,0.020,0.116,0.858,5.002,0.010,0.002,0.011,0.005,0.009,0.001,0.001,0.002,0.003,0.009,0.016,0.001,0.117,0.862,0.020
BB11-1,U,63.83,0.02,18.95,0.32,0.08,0.01,0.02,0.09,1.40,1.78,13.86,0.21,0.03,0.11,0.08,0.08,0.02,0.03,0.04,0.08,0.06,0.14,2.955,0.001,1.034,0.011,0.003,0.001,0.001,0.002,0.025,0.160,0.818,5.011,0.010,0.002,0.011,0.006,0.006,0.003,0.003,0.002,0.003,0.011,0.016,0.001,0.159,0.815,0.025
BB11-1,U,63.55,0.02,19.12,0.65,0.10,0.01,0.02,0.16,1.94,1.02,14.33,0.21,0.03,0.11,0.08,0.08,0.00,0.00,0.04,0.10,0.05,0.14,2.943,0.001,1.043,0.023,0.004,0.001,0.001,0.004,0.035,0.092,0.846,4.993,0.010,0.002,0.011,0.006,0.006,0.000,0.000,0.002,0.004,0.009,0.016,0.001,0.094,0.869,0.036
BB11-1,U,63.97,0.10,18.40,1.08,0.10,0.01,0.02,0.21,1.37,0.90,14.65,0.21,0.03,0.11,0.10,0.09,0.02,0.02,0.04,0.08,0.05,0.14,2.961,0.003,1.004,0.038,0.004,0.001,0.001,0.006,0.025,0.081,0.865,4.988,0.010,0.002,0.011,0.007,0.007,0.003,0.002,0.002,0.003,0.009,0.016,0.001,0.083,0.890,0.026
BB11-1,U,63.43,0.02,18.33,0.75,0.10,0.01,0.02,0.17,1.71,0.74,14.82,0.21,0.00,0.11,0.09,0.08,0.00,0.01,0.04,0.09,0.04,0.14,2.964,0.001,1.009,0.026,0.004,0.001,0.001,0.005,0.031,0.067,0.883,4.993,0.010,0.000,0.011,0.006,0.006,0.000,0.001,0.002,0.003,0.007,0.017,0.001,0.068,0.899,0.032
BB11-1,U,65.19,0.02,18.95,0.81,0.09,0.01,0.02,0.14,0.60,2.78,12.25,0.21,0.00,0.11,0.09,0.09,0.01,0.01,0.04,0.07,0.08,0.13,2.967,0.001,1.017,0.028,0.003,0.001,0.001,0.004,0.011,0.245,0.711,4.988,0.010,0.000,0.011,0.006,0.007,0.001,0.001,0.002,0.002,0.014,0.015,0.001,0.253,0.735,0.011
BB11-1,U,64.15,0.02,19.05,0.73,0.09,0.01,0.02,0.26,1.54,1.77,13.44,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.09,0.06,0.13,2.950,0.001,1.032,0.025,0.004,0.001,0.001,0.007,0.028,0.158,0.788,4.994,0.010,0.002,0.011,0.006,0.007,0.001,0.002,0.002,0.003,0.011,0.015,0.001,0.162,0.809,0.028
BB11-1,U,65.17,0.02,18.80,0.16,0.09,0.01,0.06,0.32,0.84,2.97,11.47,0.21,0.02,0.11,0.07,0.09,0.00,0.02,0.04,0.07,0.08,0.12,2.985,0.001,1.015,0.006,0.003,0.001,0.003,0.008,0.015,0.264,0.670,4.971,0.010,0.001,0.011,0.005,0.007,0.000,0.002,0.002,0.003,0.014,0.014,0.003,0.277,0.704,0.016
BB11-1,U,65.17,0.02,19.19,0.69,0.09,0.01,0.02,0.18,1.04,2.90,12.32,0.21,0.04,0.11,0.08,0.15,0.02,0.02,0.04,0.08,0.08,0.13,2.956,0.001,1.026,0.024,0.003,0.001,0.001,0.005,0.018,0.255,0.713,5.002,0.011,0.003,0.011,0.005,0.012,0.003,0.002,0.002,0.003,0.014,0.015,0.001,0.258,0.722,0.019
BB11-1,U,61.69,0.02,19.08,0.68,0.09,0.01,0.02,0.11,3.67,0.77,15.13,0.21,0.03,0.11,0.09,0.09,0.01,0.03,0.04,0.12,0.05,0.14,2.904,0.001,1.059,0.024,0.004,0.001,0.001,0.003,0.068,0.070,0.909,5.043,0.011,0.002,0.011,0.006,0.007,0.001,0.003,0.002,0.004,0.009,0.017,0.001,0.067,0.867,0.065
