Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
HTC12-3,U,64.92,0.07,18.12,0.63,0,0,0.04,0.16,0.87,2.85,12.55,100.21,0.21,0.03,0.1,0.09,0.09,0.01,0.02,0.04,0.08,0.08,0.13,0.32,2.986,0.002,0.982,0.022,0,0,0.002,0.004,0.016,0.254,0.736,5.005,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.002,0.252,0.73,0.016,0.002,0.011,0.011,0.003
HTC12-3,U,64.59,0.07,18.57,1.07,0,0,0,0.17,0.98,2.67,12.77,100.89,0.21,0.03,0.11,0.1,0.09,0.01,0.03,0.04,0.08,0.08,0.13,0.33,2.961,0.002,1.003,0.037,0,0,0,0.005,0.018,0.237,0.747,5.009,0.01,0.002,0.011,0.007,0,0,0,0.002,0.003,0.014,0.015,0.03,0,0.237,0.746,0.018,0,0.011,0.011,0.003
HTC12-3,U,64.38,0,18.79,0.45,0,0,0,0.12,0.62,2.75,12.02,99.13,0.21,0.02,0.11,0.08,0.09,0.02,0.02,0.04,0.07,0.08,0.13,0.32,2.975,0,1.023,0.016,0,0,0,0.003,0.011,0.246,0.708,4.983,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.014,0.015,0.03,0,0.255,0.733,0.012,0,0.012,0.012,0.003
HTC12-3,U,64.9,0.06,18.96,0.79,0,0,0.11,0.16,0.5,4.45,10.66,100.59,0.21,0.03,0.11,0.1,0.1,0.01,0.02,0.04,0.07,0.1,0.12,0.33,2.953,0.002,1.017,0.027,0,0,0.005,0.004,0.009,0.393,0.619,5.029,0.01,0.002,0.011,0.007,0,0,0.002,0.002,0.002,0.017,0.014,0.03,0.005,0.383,0.603,0.009,0.002,0.012,0.011,0.002
HTC12-3,U,64.8,0,18.51,0.66,0,0,0.05,0.18,0.86,2.84,12.43,100.33,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.07,0.08,0.13,0.32,2.975,0,1.002,0.023,0,0,0.002,0.005,0.015,0.253,0.728,5.003,0.01,0,0.011,0.006,0,0,0.002,0.002,0.003,0.014,0.015,0.03,0.002,0.253,0.729,0.015,0.002,0.011,0.011,0.003
HTC12-3,U,64.49,0.08,19.01,0.38,0,0,0,0.2,1.17,2.28,12.87,100.48,0.21,0.03,0.11,0.08,0.09,0.02,0.02,0.04,0.08,0.07,0.13,0.32,2.963,0.003,1.029,0.013,0,0,0,0.005,0.021,0.203,0.754,4.992,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.208,0.771,0.022,0,0.011,0.011,0.003
HTC12-3,U,64.3,0,19.05,0.6,0,0,0,0.31,1.18,2.44,13.01,100.89,0.21,0.03,0.11,0.09,0.09,0.01,0.03,0.04,0.08,0.07,0.13,0.33,2.952,0,1.031,0.021,0,0,0,0.008,0.021,0.217,0.762,5.012,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.217,0.762,0.021,0,0.011,0.011,0.003
HTC12-3,U,64.77,0,19.06,0.5,0,0,0,0.22,1.02,2.72,12.64,100.93,0.21,0.03,0.11,0.09,0.12,0.01,0.02,0.04,0.08,0.08,0.13,0.33,2.961,0,1.027,0.017,0,0,0,0.006,0.018,0.241,0.737,5.007,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.014,0.015,0.03,0,0.242,0.74,0.018,0,0.011,0.011,0.003
HTC12-3,U,65.21,0.09,18.61,0.65,0,0,0,0.11,0.74,2.8,12.57,100.78,0.21,0.03,0.11,0.09,0.1,0.02,0.01,0.04,0.08,0.08,0.13,0.33,2.976,0.003,1.001,0.022,0,0,0,0.003,0.013,0.248,0.732,4.999,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.014,0.015,0.03,0,0.25,0.737,0.013,0,0.011,0.011,0.003
HTC12-3,U,64.65,0.08,19.14,0.57,0,0,0.06,0.23,1.35,2.71,11.77,100.56,0.21,0.03,0.11,0.09,0.09,0.02,0.02,0.04,0.09,0.08,0.12,0.32,2.96,0.003,1.033,0.02,0,0,0.003,0.006,0.024,0.241,0.687,4.976,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.014,0.014,0.03,0.003,0.252,0.72,0.025,0.002,0.012,0.012,0.003
HTC12-3,U,64.66,0,19.44,0.28,0,0,0.13,0.26,0.87,3.54,11.48,100.66,0.21,0.03,0.11,0.08,0.08,0,0.02,0.04,0.08,0.09,0.12,0.32,2.949,0,1.045,0.01,0,0,0.006,0.007,0.016,0.313,0.668,5.014,0.01,0,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.006,0.312,0.666,0.016,0.002,0.011,0.011,0.003
HTC12-3,U,64.51,0.09,19.14,0.28,0,0,0.13,0.32,1.38,3.13,11.74,100.72,0.21,0.03,0.11,0.09,0.16,0.02,0.02,0.04,0.09,0.08,0.12,0.35,2.954,0.003,1.033,0.01,0,0,0.006,0.008,0.025,0.278,0.686,5.003,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.006,0.279,0.689,0.025,0.002,0.012,0.012,0.003
HTC12-3,U,63.97,0.1,18.84,1.04,0,0,0,0.09,1.73,2.3,12.88,100.95,0.21,0.03,0.11,0.1,0.1,0.01,0.02,0.04,0.1,0.07,0.13,0.33,2.945,0.003,1.022,0.036,0,0,0,0.002,0.031,0.205,0.756,5.003,0.01,0.002,0.011,0.007,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.207,0.762,0.031,0,0.011,0.011,0.003
HTC12-3,U,65.14,0.09,18.82,0.56,0,0,0,0.2,1.26,2.31,12.97,101.35,0.21,0.03,0.11,0.09,0.08,0,0,0.04,0.09,0.07,0.13,0.32,2.97,0.003,1.011,0.019,0,0,0,0.005,0.023,0.204,0.754,4.991,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.013,0.015,0.03,0,0.208,0.769,0.023,0,0.011,0.011,0.003
HTC12-3,U,65.97,0,18.64,0.37,0,0,0.09,0.21,0.39,3.49,11.95,101.11,0.21,0.03,0.11,0.09,0.1,0.02,0.02,0.04,0.07,0.09,0.12,0.32,2.987,0,0.995,0.013,0,0,0.004,0.006,0.007,0.306,0.69,5.008,0.01,0,0.011,0.006,0,0,0.002,0.002,0.002,0.015,0.014,0.03,0.004,0.304,0.685,0.007,0.002,0.011,0.011,0.002
HTC12-3,U,65.09,0.06,18.9,0.48,0,0,0.08,0.23,0.87,3.34,11.78,100.83,0.21,0.03,0.11,0.09,0.08,0.01,0.02,0.04,0.08,0.09,0.12,0.32,2.967,0.002,1.015,0.016,0,0,0.004,0.006,0.016,0.295,0.685,5.006,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.004,0.295,0.685,0.016,0.002,0.011,0.011,0.003
HTC12-3,U,64.41,0.06,18.73,0.5,0,0,0.04,0.27,1.39,3.57,11.34,100.31,0.21,0.03,0.11,0.09,0.08,0.01,0.02,0.04,0.09,0.09,0.12,0.32,2.961,0.002,1.015,0.017,0,0,0.002,0.007,0.025,0.318,0.665,5.012,0.01,0.002,0.011,0.006,0,0,0.002,0.002,0.003,0.016,0.014,0.03,0.002,0.315,0.658,0.025,0.002,0.012,0.012,0.003
HTC12-3,U,65.37,0,18.53,0.69,0,0,0.08,0.14,0.31,3.6,11.05,99.77,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.07,0.09,0.12,0.32,2.987,0,0.998,0.024,0,0,0.004,0.004,0.006,0.319,0.644,4.984,0.01,0,0.011,0.006,0,0,0.002,0.002,0.002,0.016,0.014,0.03,0.004,0.328,0.662,0.006,0.002,0.012,0.012,0.002
HTC12-3,U,65.22,0,19.18,0.43,0,0,0,0.2,1.18,3.5,10.72,100.43,0.21,0.03,0.11,0.08,0.09,0.02,0.02,0.04,0.08,0.09,0.12,0.32,2.971,0,1.03,0.015,0,0,0,0.005,0.021,0.309,0.623,4.973,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.015,0.014,0.03,0,0.324,0.654,0.022,0,0.012,0.012,0.003
HTC12-3,U,65.1,0.06,19.19,0.64,0,0,0,0.21,1.16,3.25,12.15,101.76,0.21,0.03,0.11,0.09,0.11,0,0.02,0.04,0.08,0.08,0.13,0.33,2.952,0.002,1.026,0.022,0,0,0,0.006,0.021,0.286,0.703,5.016,0.01,0.002,0.011,0.006,0,0,0,0.002,0.003,0.015,0.014,0.03,0,0.283,0.696,0.02,0,0.011,0.011,0.003
HTC12-3,U,65.08,0,19.31,0.54,0,0,0,0.3,1.51,3.68,11.28,101.7,0.21,0.03,0.11,0.09,0.1,0.01,0.02,0.04,0.09,0.09,0.12,0.33,2.951,0,1.032,0.018,0,0,0,0.008,0.027,0.323,0.652,5.012,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.016,0.014,0.03,0,0.323,0.651,0.027,0,0.012,0.012,0.003
HTC12-3,U,65.19,0,19.59,0.29,0,0,0.09,0.2,1.18,3.12,11.38,101.04,0.21,0.02,0.11,0.08,0,0,0.02,0.04,0.09,0.08,0.12,0.31,2.958,0,1.048,0.01,0,0,0.004,0.005,0.021,0.274,0.659,4.98,0.01,0,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.005,0.286,0.687,0.022,0.002,0.012,0.012,0.003
HTC12-3,U,64.68,0,19.19,0.63,0,0,0.12,0.2,0.7,3.52,11.84,100.88,0.21,0.03,0.11,0.09,0.1,0.02,0.02,0.04,0.07,0.09,0.12,0.32,2.949,0,1.031,0.022,0,0,0.006,0.005,0.013,0.311,0.689,5.025,0.01,0,0.011,0.006,0,0,0.002,0.002,0.003,0.015,0.014,0.03,0.006,0.306,0.676,0.012,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.55,0,19.09,0.25,0,0,0.13,0.11,0.52,3.44,12.57,99.66,0.21,0.03,0.11,0.06,0.08,0,0.02,0.03,0.07,0.09,0.13,0.31,2.941,0,1.041,0.009,0,0,0.006,0.003,0.009,0.309,0.742,5.06,0.01,0,0.011,0.004,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.006,0.289,0.696,0.009,0.002,0.011,0.011,0.003
HX12-1,MCZl,64.05,0,19.39,0,0,0,0.16,0.11,0.62,3.15,12.57,100.05,0.21,0,0.11,0.06,0.05,0,0.02,0.04,0.07,0.08,0.13,0.31,2.946,0,1.051,0,0,0,0.008,0.003,0.011,0.281,0.738,5.038,0.009,0,0.011,0,0,0,0.002,0.002,0.002,0.015,0.015,0.03,0.008,0.271,0.711,0.011,0.002,0.011,0.011,0.002
HX12-1,MCZl,63.88,0,18.76,0,0,0,0.09,0.09,0.98,3.28,12.37,99.45,0.21,0.04,0.11,0.07,0.04,0.02,0.02,0.04,0.08,0.08,0.13,0.31,2.962,0,1.025,0,0,0,0.004,0.002,0.018,0.295,0.732,5.039,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.015,0.03,0.004,0.281,0.698,0.017,0.002,0.011,0.011,0.003
HX12-1,MCZl,64.33,0,19.36,0,0,0,0.13,0.08,0.77,3.18,12.83,100.68,0.21,0,0.11,0.07,0.05,0.01,0.02,0.03,0.07,0.08,0.13,0.31,2.947,0,1.045,0,0,0,0.006,0.002,0.014,0.282,0.75,5.047,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.006,0.268,0.712,0.013,0.002,0.011,0.011,0.003
HX12-1,MCZl,64.73,0,19.26,0,0,0,0.08,0.09,0.61,3.38,12.63,100.78,0.21,0.03,0.11,0.06,0.04,0,0.02,0.04,0.07,0.09,0.13,0.31,2.955,0,1.036,0,0,0,0.004,0.002,0.011,0.299,0.736,5.044,0.009,0,0.011,0,0,0,0.002,0.002,0.002,0.015,0.015,0.03,0.004,0.285,0.701,0.01,0.002,0.011,0.011,0.002
HX12-1,MCZl,64.09,0,19.33,0,0,0,0.1,0.13,0.92,3.17,12.53,100.27,0.21,0.03,0.11,0.06,0.06,0,0.02,0.04,0.07,0.08,0.13,0.31,2.947,0,1.048,0,0,0,0.005,0.003,0.017,0.283,0.735,5.038,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.015,0.03,0.005,0.272,0.707,0.016,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.21,0,19.22,0,0,0,0.13,0,0.98,3.08,12.43,99.05,0.21,0.03,0.11,0.06,0.06,0,0.02,0.04,0.08,0.08,0.13,0.31,2.943,0,1.055,0,0,0,0.006,0,0.018,0.278,0.738,5.038,0.009,0,0.011,0,0,0,0.002,0,0.003,0.015,0.016,0.03,0.006,0.267,0.709,0.017,0.002,0.011,0.011,0.003
HX12-1,MCZl,64.05,0,18.88,0.21,0,0,0.09,0.14,0.51,2.92,12.27,99.07,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.08,0.13,0.3,2.966,0,1.03,0.007,0,0,0.004,0.004,0.009,0.262,0.725,5.008,0.01,0,0.011,0.004,0,0,0.002,0.002,0.002,0.014,0.015,0.03,0.004,0.262,0.724,0.009,0.002,0.011,0.011,0.002
HX12-1,MCZl,63.8,0,19.48,0.13,0,0,0.1,0,0.77,3.24,12.17,99.69,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.08,0.13,0.31,2.942,0,1.059,0.005,0,0,0.005,0,0.014,0.29,0.716,5.029,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.015,0.03,0.005,0.283,0.699,0.014,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.51,0,19.06,0,0,0,0.12,0.11,0.92,3.44,12.32,99.48,0.21,0,0.11,0.06,0.05,0,0.03,0.04,0.08,0.09,0.13,0.31,2.946,0,1.042,0,0,0,0.006,0.003,0.017,0.309,0.729,5.052,0.009,0,0.011,0,0,0,0.003,0.002,0.003,0.015,0.015,0.03,0.006,0.292,0.687,0.016,0.003,0.011,0.011,0.003
HX12-1,MCZl,62.94,0,19.35,0,0,0,0.18,0.21,1.18,3.29,11.79,98.94,0.21,0.04,0.11,0.07,0.04,0.01,0.03,0.04,0.08,0.08,0.13,0.31,2.935,0,1.063,0,0,0,0.009,0.006,0.022,0.297,0.701,5.033,0.009,0,0.011,0,0,0,0.003,0.002,0.003,0.015,0.015,0.03,0.009,0.289,0.681,0.021,0.003,0.011,0.011,0.003
HX12-1,MCZl,62.28,0,19.83,0.16,0,0.03,0.09,0,0.75,2.94,12.43,98.51,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.03,0.07,0.08,0.13,0.31,2.914,0,1.093,0.006,0,0.002,0.005,0,0.014,0.267,0.742,5.041,0.01,0,0.011,0.004,0,0.002,0.002,0,0.003,0.014,0.016,0.03,0.004,0.26,0.722,0.013,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.08,0,19.14,0,0,0,0.12,0.11,0.85,3.45,12.48,99.23,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.09,0.13,0.31,2.937,0,1.05,0,0,0,0.006,0.003,0.016,0.311,0.741,5.064,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.006,0.29,0.69,0.014,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.2,0,19.24,0,0,0,0.16,0.13,1.22,3.02,12.18,99.15,0.21,0.03,0.11,0.06,0.06,0,0.02,0.04,0.08,0.08,0.13,0.31,2.942,0,1.056,0,0,0,0.008,0.004,0.022,0.273,0.723,5.028,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.015,0.03,0.008,0.266,0.705,0.022,0.002,0.011,0.011,0.003
HX12-1,MCZl,63.82,0,19.89,0,0,0,0.13,0,0.55,3.23,12.74,100.36,0.21,0.03,0.11,0.06,0.06,0.02,0.02,0.04,0.07,0.08,0.13,0.31,2.927,0,1.075,0,0,0,0.006,0,0.01,0.287,0.745,5.051,0.009,0,0.011,0,0,0,0.002,0,0.002,0.015,0.015,0.03,0.006,0.274,0.711,0.009,0.002,0.011,0.011,0.002
HX12-1,MCZl,63.13,0,19.2,0,0,0,0.1,0,0.87,2.91,12.66,98.87,0.21,0.03,0.11,0.07,0.05,0.02,0.02,0.04,0.08,0.08,0.13,0.31,2.944,0,1.055,0,0,0,0.005,0,0.016,0.263,0.753,5.036,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.016,0.03,0.005,0.254,0.726,0.015,0.002,0.011,0.011,0.003
HX12-2,MCZu,64.74,0,18.25,0,0,0,0.14,0,1.15,2.74,12.12,99.14,0.21,0.03,0.11,0.07,0,0.01,0.02,0.03,0.08,0.08,0.13,0.31,2.998,0,0.996,0,0,0,0.007,0,0.021,0.246,0.716,4.984,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.007,0.249,0.723,0.021,0.002,0.011,0.011,0.003
HX12-2,MCZu,65.13,0,18.83,0.22,0,0,0.15,0,1.37,2.76,12.2,100.66,0.21,0.03,0.11,0.06,0.07,0,0.03,0.04,0.09,0.08,0.13,0.32,2.978,0,1.015,0.008,0,0,0.007,0,0.025,0.245,0.712,4.989,0.009,0,0.011,0.004,0,0,0.002,0,0.003,0.013,0.015,0.03,0.007,0.248,0.72,0.025,0.002,0.011,0.011,0.003
HX12-2,MCZu,63.43,0,19.54,0.13,0,0,0.09,0,1.72,2.68,12.36,99.95,0.21,0,0.11,0.06,0.04,0.01,0.02,0.03,0.09,0.08,0.13,0.31,2.937,0,1.066,0.005,0,0,0.004,0,0.031,0.241,0.73,5.013,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.014,0.015,0.03,0.004,0.239,0.725,0.031,0.002,0.011,0.011,0.003
HX12-2,MCZu,63.23,0,19.7,0,0,0,0.15,0,1.79,2.74,12.23,99.84,0.21,0.03,0.11,0.06,0.04,0.02,0.02,0.04,0.1,0.08,0.13,0.31,2.931,0,1.076,0,0,0,0.007,0,0.033,0.246,0.723,5.016,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.015,0.03,0.007,0.244,0.716,0.032,0.002,0.011,0.011,0.003
HX12-2,MCZu,63.33,0,19.53,0,0,0,0.15,0,2.17,2.96,12.05,100.19,0.21,0.03,0.11,0.06,0.06,0.01,0.02,0.04,0.1,0.08,0.13,0.32,2.933,0,1.066,0,0,0,0.007,0,0.039,0.266,0.712,5.023,0.009,0,0.011,0,0,0,0.002,0,0.004,0.015,0.015,0.03,0.007,0.259,0.695,0.038,0.002,0.012,0.012,0.004
HX12-2,MCZu,62.94,0,19.45,0.11,0,0,0.13,0,1.59,3.4,13.12,100.74,0.21,0.03,0.11,0.05,0.04,0,0.02,0.04,0.09,0.09,0.14,0.31,2.914,0,1.061,0.004,0,0,0.006,0,0.029,0.305,0.775,5.094,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.016,0.03,0.006,0.274,0.695,0.026,0.002,0.011,0.011,0.003
HX12-2,MCZu,62.2,0,19.36,0,0,0,0.15,0,1.23,3.07,12.41,98.42,0.21,0.03,0.11,0.07,0.05,0.01,0.02,0.03,0.08,0.08,0.13,0.31,2.924,0,1.073,0,0,0,0.008,0,0.023,0.28,0.744,5.051,0.009,0,0.011,0,0,0,0.003,0,0.003,0.015,0.016,0.03,0.007,0.265,0.706,0.021,0.003,0.011,0.011,0.003
HX12-2,MCZu,63.92,0,19.72,0,0,0,0.13,0,1.34,3.37,12.77,101.25,0.21,0.02,0.11,0.04,0.05,0,0.02,0.04,0.09,0.09,0.13,0.31,2.926,0,1.064,0,0,0,0.006,0,0.024,0.299,0.746,5.065,0.009,0,0.011,0,0,0,0.002,0,0.003,0.015,0.015,0.03,0.006,0.278,0.694,0.022,0.002,0.011,0.011,0.003
HX12-2,MCZu,62.31,0,19.69,0.17,0,0,0.18,0,1.38,3.23,12.35,99.31,0.21,0,0.11,0.06,0.05,0.01,0.02,0.04,0.09,0.08,0.13,0.31,2.909,0,1.083,0.006,0,0,0.009,0,0.025,0.292,0.735,5.06,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.016,0.03,0.008,0.275,0.692,0.024,0.002,0.011,0.011,0.003
HX12-2,MCZu,63.71,0,19.25,0.16,0,0,0.13,0,1.65,3.24,12.73,100.87,0.21,0.03,0.11,0.06,0.05,0,0.02,0.04,0.09,0.08,0.13,0.31,2.935,0,1.045,0.006,0,0,0.006,0,0.03,0.289,0.748,5.059,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.016,0.03,0.006,0.27,0.697,0.028,0.002,0.011,0.011,0.003
HX12-2,MCZu,64.33,0,19.45,0.16,0,0,0.15,0,1.38,3.52,12.27,101.26,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.09,0.09,0.13,0.31,2.938,0,1.047,0.005,0,0,0.007,0,0.025,0.312,0.715,5.049,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.015,0.03,0.007,0.294,0.675,0.023,0.002,0.011,0.011,0.003
IS13-2,Y,65.24,0,18.98,0.12,0,0,0.08,0,0.6,2.88,13.59,101.49,0.21,0.03,0.11,0.06,0.04,0,0.02,0.03,0.07,0.08,0.14,0.31,2.966,0,1.017,0.004,0,0,0.004,0,0.011,0.254,0.788,5.044,0.009,0,0.011,0.004,0,0,0.002,0,0.002,0.014,0.016,0.03,0.004,0.24,0.746,0.01,0.002,0.011,0.011,0.002
IS13-2,Y,64.35,0,19.26,0,0,0,0.11,0.08,0.88,3.14,13.76,101.58,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.07,0.08,0.14,0.31,2.94,0,1.037,0,0,0,0.005,0.002,0.016,0.278,0.802,5.081,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.005,0.253,0.728,0.014,0.002,0.011,0.011,0.003
IS13-2,Y,65.6,0,19.27,0,0,0,0.17,0.11,0.57,3.12,12.72,101.56,0.21,0.02,0.11,0.06,0,0.02,0.02,0.04,0.07,0.08,0.14,0.31,2.967,0,1.027,0,0,0,0.008,0.003,0.01,0.274,0.734,5.023,0.009,0,0.011,0,0,0,0.002,0.002,0.002,0.014,0.016,0.03,0.008,0.267,0.715,0.01,0.002,0.011,0.011,0.002
IS13-2,Y,64.57,0,19.34,0.12,0,0,0.15,0,0.99,3.2,13.38,101.75,0.21,0.04,0.11,0.06,0.03,0.01,0.02,0.03,0.08,0.08,0.14,0.31,2.941,0,1.038,0.004,0,0,0.007,0,0.018,0.283,0.777,5.068,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.016,0.03,0.007,0.26,0.717,0.016,0.002,0.011,0.011,0.003
IS13-2,Y,65.31,0,18.89,0,0.11,0,0.13,0,0.71,3.53,13.16,101.84,0.21,0.02,0.11,0.06,0.04,0.01,0.02,0.04,0.07,0.09,0.14,0.31,2.963,0,1.01,0,0.004,0,0.006,0,0.013,0.31,0.762,5.068,0.009,0,0.011,0,0.003,0,0.002,0,0.002,0.015,0.016,0.03,0.006,0.285,0.698,0.012,0.002,0.011,0.011,0.002
IS13-2,Y,64.58,0.07,19.22,0.16,0,0,0.23,0.26,1.07,3.48,12.62,101.69,0.21,0.03,0.11,0.06,0.04,0.02,0.03,0.04,0.08,0.09,0.14,0.31,2.941,0.002,1.032,0.005,0,0,0.011,0.007,0.019,0.307,0.733,5.058,0.01,0.002,0.011,0.004,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.01,0.287,0.685,0.018,0.002,0.011,0.011,0.003
IS13-2,Y,64.59,0,17.78,0,0,0,0.17,0,0.81,3.36,12.76,99.47,0.21,0.03,0.1,0.06,0.04,0,0.02,0.04,0.07,0.09,0.14,0.31,2.995,0,0.972,0,0,0,0.008,0,0.015,0.302,0.755,5.047,0.009,0,0.011,0,0,0,0.002,0,0.003,0.015,0.016,0.03,0.008,0.28,0.699,0.014,0.002,0.011,0.011,0.003
IS13-2,Y,65.05,0,18.72,0.24,0,0,0.11,0,1.01,3.1,12.99,101.22,0.21,0.04,0.11,0.06,0.05,0.01,0.02,0.04,0.08,0.08,0.14,0.31,2.969,0,1.007,0.008,0,0,0.005,0,0.018,0.274,0.756,5.039,0.01,0,0.011,0.004,0,0,0.002,0,0.003,0.015,0.016,0.03,0.005,0.26,0.718,0.017,0.002,0.011,0.011,0.003
IS13-2,Y,65.1,0,18.33,0,0,0,0.07,0.09,1.05,3.16,12.77,100.57,0.21,0.03,0.11,0.06,0.04,0,0.02,0.04,0.08,0.08,0.14,0.31,2.987,0,0.991,0,0,0,0.003,0.002,0.019,0.281,0.747,5.032,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.015,0.016,0.03,0.003,0.268,0.711,0.018,0.002,0.011,0.011,0.003
IS13-2,Y,64.62,0,18.67,0.18,0,0,0.14,0.09,1.18,2.65,13.22,100.75,0.21,0.04,0.11,0.06,0.03,0,0.02,0.04,0.08,0.08,0.14,0.31,2.969,0,1.011,0.006,0,0,0.007,0.002,0.021,0.236,0.775,5.028,0.009,0,0.011,0.004,0,0,0.002,0.002,0.003,0.013,0.016,0.03,0.007,0.227,0.746,0.02,0.002,0.01,0.01,0.003
IS13-2,Y,63.78,0,19.04,0,0,0,0.12,0.14,0.97,3.06,13.84,100.95,0.21,0,0.11,0.06,0.05,0,0.02,0.04,0.08,0.08,0.14,0.31,2.939,0,1.034,0,0,0,0.006,0.004,0.018,0.273,0.814,5.087,0.009,0,0.011,0,0,0,0.002,0.002,0.003,0.014,0.016,0.03,0.005,0.246,0.733,0.016,0.002,0.01,0.01,0.003
IS13-2,Y,65.26,0,18.58,0.12,0,0,0.12,0.08,0.5,2.99,13.15,100.8,0.21,0,0.11,0.06,0,0.02,0.02,0.03,0.06,0.08,0.14,0.3,2.981,0,1,0.004,0,0,0.006,0.002,0.009,0.265,0.766,5.033,0.009,0,0.011,0.004,0,0,0.002,0.002,0.002,0.014,0.016,0.03,0.006,0.253,0.733,0.009,0.002,0.011,0.011,0.002
IS13-2,Y,65.33,0,18.34,0,0,0,0.17,0,0.51,3.16,13.01,100.52,0.21,0.03,0.11,0.06,0.05,0.01,0.02,0.04,0.06,0.08,0.14,0.31,2.99,0,0.989,0,0,0,0.008,0,0.009,0.28,0.759,5.036,0.009,0,0.011,0,0,0,0.002,0,0.002,0.015,0.016,0.03,0.008,0.265,0.718,0.009,0.002,0.011,0.011,0.002
IS13-2,Y,64.92,0,18.51,0,0,0,0.12,0,1.4,3,13,100.95,0.21,0,0.11,0.06,0.05,0.01,0.02,0.03,0.09,0.08,0.14,0.31,2.977,0,1,0,0,0,0.006,0,0.025,0.267,0.761,5.036,0.009,0,0.011,0,0,0,0.002,0,0.003,0.014,0.016,0.03,0.006,0.252,0.719,0.024,0.002,0.011,0.011,0.003
IS13-2,Y,64.77,0.07,18.62,0,0,0,0.12,0.15,0.84,3.08,13.79,101.44,0.21,0.03,0.11,0.06,0.04,0.01,0.02,0.04,0.08,0.08,0.14,0.31,2.963,0.002,1.004,0,0,0,0.006,0.004,0.015,0.273,0.805,5.072,0.009,0.002,0.011,0,0,0,0.002,0.002,0.003,0.014,0.016,0.03,0.005,0.249,0.732,0.014,0.002,0.01,0.01,0.003
