Sample,Coal,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,SrO,BaO,Na2O,K2O,Total,sSiO2,sTiO2,sAl2O3,sFe2O3,sMnO,sMgO,sCaO,sSrO,sBaO,sNa2O,sK2O,sTotal,Si,Ti,Al,Fe3,Mn,Mg,Ca,Sr,Ba,Na,K,Sum,sSi,sTi,sAl,sFe3,sMn,sMg,sCa,sSr,sBa,sNa,sK,sTotal,An,Ab,Or,Cn,sAn,sAb,sOr,sCn
BB11-1,U,65.78,0,18.49,0.61,0,0,0.1,0.15,0.54,4.64,9.81,100.12,0.21,0.03,0.11,0.09,0.09,0.02,0.02,0.04,0.06,0.1,0.11,0.32,2.988,0,0.99,0.021,0,0,0.005,0.004,0.01,0.409,0.568,4.995,0.01,0,0.011,0.006,0,0,0.002,0.002,0.002,0.017,0.013,0.03,0.005,0.412,0.573,0.01,0.002,0.011,0.011,0.002
BB11-1,U,64.34,0,18.58,0.65,0,0,0,0.11,1.31,0.87,15.08,100.94,0.21,0.03,0.11,0.08,0.09,0,0.03,0.04,0.08,0.05,0.14,0.32,2.97,0,1.011,0.023,0,0,0,0.003,0.024,0.078,0.888,4.996,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.008,0.016,0.02,0,0.079,0.897,0.024,0,0.008,0.008,0.003
BB11-1,U,62.61,0.1,19.06,0.79,0,0,0,0.09,3.28,1.05,14.38,101.36,0.21,0.03,0.11,0.08,0.09,0,0.02,0.04,0.11,0.05,0.14,0.33,2.921,0.004,1.048,0.028,0,0,0,0.002,0.06,0.095,0.856,5.013,0.01,0.002,0.011,0.006,0,0,0,0.002,0.004,0.009,0.016,0.02,0,0.094,0.847,0.059,0,0.008,0.009,0.004
BB11-1,U,64.85,0,18.61,0.6,0,0,0,0.15,1.12,1.31,14.67,101.31,0.21,0.03,0.11,0.08,0.11,0.01,0.01,0.04,0.08,0.05,0.14,0.33,2.974,0,1.006,0.021,0,0,0,0.004,0.02,0.116,0.858,5,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.01,0.016,0.03,0,0.117,0.863,0.02,0,0.009,0.009,0.003
BB11-1,U,63.83,0,18.95,0.32,0,0,0,0.09,1.4,1.78,13.86,100.23,0.21,0.03,0.11,0.08,0.08,0.02,0.03,0.04,0.08,0.06,0.14,0.32,2.957,0,1.035,0.011,0,0,0,0.002,0.025,0.16,0.819,5.01,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.011,0.016,0.03,0,0.159,0.816,0.025,0,0.01,0.01,0.003
BB11-1,U,63.55,0,19.12,0.65,0,0,0,0.16,1.94,1.02,14.33,100.77,0.21,0.03,0.11,0.08,0.08,0,0,0.04,0.1,0.05,0.14,0.32,2.945,0,1.044,0.023,0,0,0,0.004,0.035,0.092,0.847,4.991,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.009,0.016,0.02,0,0.094,0.87,0.036,0,0.009,0.009,0.003
BB11-1,U,63.97,0.1,18.4,1.08,0,0,0,0.21,1.37,0.9,14.65,100.68,0.21,0.03,0.11,0.1,0.09,0.02,0.02,0.04,0.08,0.05,0.14,0.32,2.963,0.003,1.004,0.038,0,0,0,0.006,0.025,0.081,0.866,4.986,0.01,0.002,0.011,0.007,0,0,0,0.002,0.003,0.008,0.016,0.02,0,0.083,0.891,0.026,0,0.008,0.008,0.003
BB11-1,U,63.43,0,18.33,0.75,0,0,0,0.17,1.71,0.74,14.82,99.95,0.21,0,0.11,0.09,0.08,0,0.01,0.04,0.09,0.04,0.14,0.32,2.967,0,1.01,0.026,0,0,0,0.005,0.031,0.067,0.884,4.991,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.008,0.017,0.02,0,0.068,0.9,0.032,0,0.008,0.008,0.003
BB11-1,U,65.19,0,18.95,0.81,0,0,0,0.14,0.6,2.78,12.25,100.72,0.21,0,0.11,0.09,0.09,0.01,0.01,0.04,0.07,0.08,0.13,0.32,2.97,0,1.017,0.028,0,0,0,0.004,0.011,0.246,0.712,4.986,0.01,0,0.011,0.006,0,0,0,0.002,0.002,0.014,0.015,0.03,0,0.254,0.735,0.011,0,0.011,0.011,0.002
BB11-1,U,64.15,0,19.05,0.73,0,0,0,0.26,1.54,1.77,13.44,100.94,0.21,0.03,0.11,0.09,0.09,0.01,0.02,0.04,0.09,0.06,0.13,0.32,2.952,0,1.033,0.025,0,0,0,0.007,0.028,0.158,0.789,4.992,0.01,0,0.011,0.006,0,0,0,0.002,0.003,0.011,0.016,0.03,0,0.162,0.809,0.028,0,0.01,0.01,0.003
