Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
BB11-1,U,29.99,40.68,0.43,0,0.21,1.83,27.5,0,0.07,0,100.71,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.976,0.996,0.016,0,0.002,0.045,0.959,0,0.001,0,2.995,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.039,0.257,0.704,0.011,0.011,0.013
BB11-1,U,30.08,41.19,0.35,0.04,0.13,2.52,28.07,0.03,0.03,0,102.44,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.965,0.994,0.013,0.001,0.002,0.061,0.965,0.001,0,0,3.001,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.029,0.174,0.796,0.011,0.008,0.012
BB11-1,U,30.05,40.93,0.35,0,0.17,2.31,27.53,0,0.08,0,101.41,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.972,0.996,0.013,0,0.002,0.056,0.954,0,0.001,0,2.995,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.028,0.186,0.786,0.01,0.009,0.012
BB11-1,U,29.96,40.68,0.37,0.05,0.28,2.44,27.52,0,0.12,0,101.42,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0,0.24,0.971,0.991,0.014,0.001,0.003,0.06,0.955,0,0.002,0,2.997,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0.001,0,0.011,0.053,0.183,0.764,0.011,0.008,0.012
BB11-1,U,30.28,40.82,0.41,0.06,0.18,2.21,28.21,0,0.05,0,102.21,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.973,0.986,0.015,0.001,0.002,0.054,0.971,0,0.001,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.011,0.042,0.215,0.743,0.011,0.009,0.013
BB11-1,U,29.76,39.06,1.03,0.11,0.26,2.1,27.46,0.04,0.11,0,99.94,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.977,0.964,0.04,0.002,0.003,0.052,0.965,0.001,0.002,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.053,0.412,0.535,0.009,0.01,0.011
BB11-1,U,29.82,40.52,0.41,0.03,0.17,2.08,27.52,0.03,0.06,0,100.64,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.972,0.994,0.016,0.001,0.002,0.051,0.961,0.001,0.001,0,2.997,0.005,0.006,0.001,0,0.001,0.002,0.008,0.001,0,0,0.011,0.037,0.227,0.735,0.012,0.01,0.013
BB11-1,U,28.46,39.5,0.55,0.06,0.26,2.44,27.45,0.03,0.13,0,98.89,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.95,0.991,0.022,0.001,0.003,0.061,0.981,0.001,0.002,0,3.012,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.049,0.249,0.702,0.01,0.009,0.011
BB11-1,U,29.55,39.31,0.93,0.05,0.35,2.36,27.58,0,0.11,0,100.23,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0,0.02,0.05,0.24,0.969,0.97,0.036,0.001,0.004,0.058,0.969,0,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.011,0.05,0.361,0.589,0.009,0.009,0.011
BB11-1,U,29.9,40.94,0.46,0.07,0.24,2.34,27.63,0,0.1,0,101.68,0.09,0.18,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.966,0.995,0.017,0.001,0.003,0.057,0.957,0,0.001,0,2.997,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.051,0.223,0.726,0.01,0.009,0.012
BB11-1,U,29.76,40.67,0.43,0,0.23,2.37,28,0,0.05,0,101.5,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.964,0.991,0.017,0,0.003,0.058,0.972,0,0.001,0,3.005,0.005,0.006,0.001,0,0.001,0.002,0.008,0,0,0,0.011,0.036,0.215,0.749,0.009,0.009,0.011
BB11-1,U,30.38,38.59,0.67,0.07,0.29,3.43,28.11,0.03,0.1,0,101.68,0.09,0.17,0.01,0.01,0.03,0.05,0.12,0.01,0.02,0.05,0.24,0.984,0.94,0.026,0.001,0.003,0.084,0.975,0.001,0.002,0,3.015,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.041,0.225,0.734,0.008,0.007,0.009
BB11-1,U,30.16,39.66,0.72,0.09,0.27,2.78,28.01,0,0.1,0,101.79,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.974,0.964,0.027,0.002,0.003,0.068,0.97,0,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0,0,0.011,0.048,0.274,0.678,0.009,0.008,0.01
BB11-1,U,30.24,40.53,0.35,0.04,0.17,2.57,27.73,0.05,0.09,0,101.76,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.976,0.983,0.013,0.001,0.002,0.062,0.958,0.001,0.001,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.011,0.033,0.169,0.797,0.011,0.008,0.012
