Sample,Coal,SiO2,TiO2,Al2O3,Y2O3,Ce2O3,Fe2O3,CaO,P2O5,Nb2O5,Ta2O5,Total,sSiO2,sTiO2,sAl2O3,sY2O3,sCe2O3,sFe2O3,sCaO,sP2O5,sNb2O5,sTa2O5,sTotal,Si,Ti,Al,Y,Ce,Fe3,Ca,P,Nb,Ta,Sum,sSi,sTi,sAl,sY,sCe,sFe3,sCa,sP,sNb,sTa,sSum,Ce+Y,Al,Fe3,sCe+Y,sAl,sFe3
HTC12-1,W,29.97,37.76,1.2,0.11,0.28,1.91,27.06,0,0.11,0,98.4,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.997,0.944,0.047,0.002,0.003,0.048,0.964,0,0.002,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.054,0.469,0.477,0.009,0.01,0.011
HTC12-1,W,30.04,37.2,1.11,0.16,0.36,2.18,26.89,0.05,0.12,0,98.1,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.002,0.934,0.044,0.003,0.004,0.055,0.961,0.001,0.002,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.069,0.413,0.519,0.008,0.009,0.01
HTC12-1,W,30.28,37.52,1.2,0.12,0.36,2.05,27.41,0.05,0.17,0,99.16,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1,0.932,0.047,0.002,0.004,0.051,0.97,0.001,0.003,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.448,0.489,0.008,0.01,0.011
HTC12-1,W,29.99,38.29,1.15,0.26,0.47,2.02,26.71,0.06,0.15,0,99.11,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.991,0.952,0.045,0.005,0.006,0.05,0.946,0.002,0.002,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.098,0.425,0.477,0.009,0.01,0.011
HTC12-1,W,30.05,36.71,1.26,0.12,0.37,2.54,26.64,0,0.12,0,97.81,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.006,0.924,0.05,0.002,0.004,0.064,0.955,0,0.002,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.056,0.413,0.531,0.008,0.009,0.01
HTC12-1,W,29.97,37.04,1.41,0.06,0.2,2.44,26.95,0.08,0.17,0,98.33,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.997,0.927,0.055,0.001,0.002,0.061,0.96,0.002,0.003,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.029,0.461,0.51,0.007,0.009,0.01
HTC12-1,W,29.86,36.13,1.36,0.09,0.37,2.77,27.01,0.05,0.3,0,97.93,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1.001,0.91,0.054,0.002,0.005,0.07,0.97,0.001,0.004,0,3.016,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.047,0.414,0.539,0.007,0.008,0.009
HTC12-1,W,29.55,36.44,1.23,0.11,0.35,3.09,26.97,0,0.16,0,97.92,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.992,0.92,0.049,0.002,0.004,0.078,0.97,0,0.002,0,3.018,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.048,0.365,0.587,0.007,0.008,0.009
HTC12-1,W,30.48,37.37,1.25,0.19,0.59,2.31,26.54,0.03,0.22,0,98.99,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1.008,0.929,0.049,0.003,0.007,0.057,0.94,0.001,0.003,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.091,0.418,0.492,0.008,0.009,0.01
HTC12-1,W,30.06,37.67,1.15,0.22,0.49,2.07,26.54,0.06,0.14,0,98.41,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,1,0.942,0.045,0.004,0.006,0.052,0.946,0.002,0.002,0,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.092,0.423,0.485,0.009,0.01,0.011
HTC12-1,W,29.42,36.25,1.31,0.24,0.51,2.16,26.46,0.07,0.14,0,96.57,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.999,0.926,0.053,0.004,0.006,0.055,0.962,0.002,0.002,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.09,0.444,0.466,0.008,0.009,0.01
HTC12-1,W,29.71,36.06,1.41,0.06,0.24,2.56,26.94,0.09,0.04,0,97.12,0.09,0.17,0.01,0.01,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.001,0.914,0.056,0.001,0.003,0.065,0.973,0.002,0.001,0,3.017,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.033,0.449,0.519,0.007,0.009,0.009
HTC12-1,W,29.2,36.46,1.26,0.18,0.51,2.09,26.33,0.07,0.12,0,96.21,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.995,0.934,0.051,0.003,0.006,0.053,0.961,0.002,0.002,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.086,0.444,0.47,0.008,0.009,0.01
HTC12-1,W,29.3,36.61,1.22,0.24,0.45,2.27,26.36,0.05,0.13,0,96.64,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.994,0.935,0.049,0.004,0.006,0.058,0.958,0.002,0.002,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.084,0.418,0.497,0.008,0.009,0.01
HTC12-1,W,29.69,36.26,1.53,0.14,0.43,2.16,26.69,0.08,0.12,0,97.11,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.001,0.919,0.061,0.002,0.005,0.055,0.964,0.002,0.002,0,3.012,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.492,0.445,0.007,0.009,0.01
HTC12-1,W,29.41,36.11,1.11,0.09,0.33,2.5,26.83,0.04,0.14,0,96.57,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.999,0.923,0.044,0.002,0.004,0.064,0.977,0.001,0.002,0,3.016,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.05,0.389,0.56,0.008,0.009,0.01
HTC12-1,W,29.85,37.04,1.05,0.19,0.43,1.65,26.86,0.06,0.14,0,97.27,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.004,0.937,0.042,0.003,0.005,0.042,0.968,0.002,0.002,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.094,0.452,0.455,0.01,0.011,0.012
HTC12-1,W,29.66,36.94,1.32,0.2,0.43,1.85,26.55,0.05,0.11,0,97.11,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1,0.936,0.053,0.004,0.005,0.047,0.958,0.001,0.002,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.082,0.485,0.433,0.009,0.01,0.011
HTC12-1,W,29.83,36.85,1.21,0.11,0.37,1.89,26.71,0.06,0.14,0,97.17,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.004,0.933,0.048,0.002,0.005,0.048,0.963,0.002,0.002,0,3.006,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.469,0.468,0.009,0.01,0.011
IS13-2,Y,30.15,37.19,1.98,0.27,0.33,2.15,27.06,0.03,0.09,0,99.24,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.994,0.922,0.077,0.005,0.004,0.053,0.955,0.001,0.001,0,3.012,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.554,0.384,0.007,0.009,0.009
IS13-2,Y,30.86,37.83,1.93,0.3,0.26,1.83,27.01,0.04,0.11,0,100.17,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.004,0.926,0.074,0.005,0.003,0.045,0.942,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.066,0.582,0.353,0.008,0.01,0.01
IS13-2,Y,30.91,37.27,1.87,0.29,0.23,1.83,27.04,0.04,0.17,0,99.65,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.011,0.917,0.072,0.005,0.003,0.045,0.947,0.001,0.003,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.063,0.577,0.36,0.008,0.01,0.01
IS13-2,Y,30.94,38.41,1.94,0.26,0.16,1.81,26.74,0.04,0.1,0,100.4,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.003,0.936,0.074,0.004,0.002,0.044,0.929,0.001,0.002,0,2.995,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.051,0.595,0.355,0.008,0.01,0.01
IS13-2,Y,30.59,37.65,1.88,0.3,0.25,2.1,26.84,0.06,0.13,0,99.79,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1,0.926,0.072,0.005,0.003,0.052,0.94,0.002,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.062,0.548,0.391,0.008,0.01,0.01
IS13-2,Y,31.4,38.28,1.99,0.25,0.15,1.99,27.5,0,0.21,0,101.78,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.005,0.922,0.075,0.004,0.002,0.048,0.943,0,0.003,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.047,0.583,0.371,0.007,0.01,0.01
IS13-2,Y,31,37.39,1.98,0.29,0.3,2.05,26.98,0,0.08,0,100.07,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.01,0.916,0.076,0.005,0.004,0.05,0.942,0,0.001,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.063,0.564,0.373,0.007,0.01,0.01
IS13-2,Y,31.31,38.03,1.96,0.24,0.1,1.88,27.27,0.04,0.1,0,100.92,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.01,0.922,0.074,0.004,0.001,0.046,0.942,0.001,0.001,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.042,0.594,0.364,0.007,0.01,0.01
IS13-2,Y,30.34,37.43,1.98,0.28,0.38,1.82,27.12,0.08,0.14,0,99.58,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.996,0.924,0.077,0.005,0.005,0.045,0.953,0.002,0.002,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.072,0.585,0.343,0.007,0.01,0.01
IS13-2,Y,31.15,37.87,2.02,0.24,0.08,1.69,27.17,0.03,0.23,0,100.48,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.009,0.922,0.077,0.004,0.001,0.041,0.943,0.001,0.003,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.042,0.625,0.333,0.007,0.01,0.01
IS13-2,Y,31.1,37.64,1.95,0.25,0.28,1.92,27.05,0.04,0.15,0,100.37,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.01,0.919,0.074,0.004,0.003,0.047,0.941,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.06,0.577,0.363,0.007,0.01,0.01
IS13-2,Y,30.72,37.51,1.88,0.3,0.23,1.85,26.87,0.05,0.16,0,99.56,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.006,0.924,0.072,0.005,0.003,0.046,0.942,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.063,0.575,0.362,0.008,0.01,0.01
IS13-2,Y,30.97,38.03,1.81,0.32,0.33,1.76,27.21,0.05,0.13,0,100.62,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.004,0.928,0.069,0.006,0.004,0.043,0.945,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.078,0.569,0.353,0.008,0.01,0.01
IS13-2,Y,30.43,37.41,2.07,0.28,0.23,1.96,27.19,0.08,0.15,0,99.8,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.996,0.921,0.08,0.005,0.003,0.048,0.953,0.002,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.056,0.588,0.356,0.007,0.01,0.009
IS13-2,Y,31.8,38.9,2,0.26,0.07,1.48,27.63,0.05,0.13,0,102.32,0.09,0.17,0.02,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.01,0.929,0.075,0.004,0.001,0.035,0.94,0.001,0.002,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.045,0.649,0.306,0.008,0.011,0.01
IS13-2,Y,30.79,37.07,2.11,0.28,0.14,1.98,27.26,0,0.16,0,99.78,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.006,0.911,0.081,0.005,0.002,0.049,0.954,0,0.002,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.048,0.596,0.357,0.007,0.01,0.009
IS13-2,Y,31.21,38.4,1.78,0.29,0.31,1.69,27.4,0.04,0.17,0,101.29,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.005,0.93,0.068,0.005,0.004,0.041,0.945,0.001,0.002,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.074,0.577,0.349,0.008,0.01,0.01
JC13-1,Y,30.13,37.63,1.66,0.24,0.25,2,27.08,0.06,0.12,0,99.16,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.993,0.933,0.065,0.004,0.003,0.05,0.956,0.002,0.002,0,3.008,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.06,0.532,0.408,0.008,0.01,0.01
JC13-1,Y,30.9,38.34,1.68,0.21,0.28,1.81,27.3,0.05,0.11,0,100.67,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.001,0.935,0.064,0.004,0.003,0.044,0.948,0.001,0.002,0,3.002,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.06,0.556,0.383,0.008,0.01,0.01
JC13-1,Y,30.43,37.31,1.91,0.17,0.2,1.72,27.26,0.05,0.08,0,99.13,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.001,0.923,0.074,0.003,0.002,0.043,0.961,0.001,0.001,0,3.01,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.043,0.608,0.349,0.008,0.011,0.01
JC13-1,Y,30.3,37.16,2.01,0.22,0.33,1.76,27.32,0.1,0.04,0,99.23,0.09,0.17,0.02,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.997,0.92,0.078,0.004,0.004,0.044,0.963,0.003,0.001,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.06,0.603,0.337,0.007,0.01,0.01
JC13-1,Y,31.23,38.63,1.76,0.2,0.12,1.66,27.26,0.08,0.08,0,101.01,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.006,0.936,0.067,0.003,0.001,0.04,0.94,0.002,0.001,0,2.997,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.043,0.597,0.36,0.008,0.011,0.011
JC13-1,Y,30.11,38.69,1.5,0.26,0.35,1.66,27.3,0.06,0.12,0,100.04,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.985,0.952,0.058,0.004,0.004,0.041,0.957,0.002,0.002,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.08,0.54,0.38,0.009,0.011,0.011
JC13-1,Y,30.98,38.05,1.64,0.22,0.19,1.81,27.39,0.03,0.14,0,100.45,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.006,0.929,0.063,0.004,0.002,0.044,0.953,0.001,0.002,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.054,0.555,0.392,0.008,0.011,0.011
JC13-1,Y,30.49,38.78,1.23,0.15,0.88,1.25,26.77,0.1,0.56,0,100.2,0.09,0.17,0.01,0.02,0.04,0.03,0.12,0.01,0.02,0.05,0.24,0.996,0.953,0.047,0.003,0.01,0.031,0.937,0.003,0.008,0,2.989,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.144,0.519,0.337,0.011,0.012,0.013
JC13-1,Y,30.95,38.21,1.38,0.51,0.5,1.93,26.56,0,0.3,0,100.33,0.09,0.17,0.01,0.02,0.04,0.04,0.12,0.01,0.02,0.06,0.24,1.008,0.936,0.053,0.009,0.006,0.047,0.927,0,0.004,0,2.991,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.011,0.129,0.46,0.411,0.009,0.01,0.011
JC13-1,Y,30.65,38.65,1.58,0.25,0.14,1.55,27.2,0.05,0.23,0,100.31,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.06,0.24,0.997,0.945,0.061,0.004,0.002,0.038,0.948,0.001,0.003,0,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.058,0.579,0.364,0.009,0.012,0.011
JC13-1,Y,30.16,37.68,1.68,0.2,0.17,1.84,27.5,0.05,0.15,0,99.42,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.992,0.932,0.065,0.004,0.002,0.046,0.969,0.001,0.002,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.048,0.56,0.391,0.008,0.011,0.011
JC13-1,Y,30.7,37.8,1.74,0.21,0.41,1.76,27.06,0.06,0.12,0,99.86,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.003,0.929,0.067,0.004,0.005,0.043,0.948,0.002,0.002,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.073,0.563,0.364,0.008,0.01,0.01
JC13-1,Y,31.28,38.31,1.63,0.2,0.22,1.95,27.21,0.03,0.12,0,100.96,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.009,0.93,0.062,0.003,0.003,0.047,0.941,0.001,0.002,0,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.052,0.537,0.41,0.008,0.011,0.011
JC13-1,Y,31.57,38.44,1.76,0.2,0.35,2.09,27.29,0.05,0.09,0,101.83,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.01,0.925,0.066,0.003,0.004,0.05,0.936,0.001,0.001,0,2.998,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.06,0.535,0.405,0.008,0.01,0.01
JC13-1,Y,31.34,37.97,1.66,0.27,0.33,2.05,27.45,0.06,0.12,0,101.25,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.01,0.921,0.063,0.005,0.004,0.05,0.948,0.002,0.002,0,3.003,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.071,0.52,0.409,0.008,0.01,0.01
JC13-1,Y,31.43,38.26,1.54,0.23,0.36,1.64,26.74,0.04,0.1,0,100.34,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,1.019,0.933,0.059,0.004,0.004,0.04,0.929,0.001,0.002,0,2.99,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.077,0.55,0.373,0.009,0.011,0.011
JC13-1,Y,31.02,37.47,1.79,0.2,0.28,2.12,27.43,0.04,0.1,0,100.45,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.008,0.916,0.069,0.003,0.003,0.052,0.955,0.001,0.001,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.054,0.539,0.408,0.007,0.01,0.01
JC13-1,Y,31.12,38.18,1.81,0.22,0.28,1.84,27.11,0.08,0.11,0,100.74,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,1.007,0.929,0.069,0.004,0.003,0.045,0.939,0.002,0.002,0,2.999,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.058,0.571,0.371,0.008,0.01,0.01
JC13-1,Y,30.69,38.19,1.77,0.22,0.2,1.9,27.58,0.03,0.13,0,100.71,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.06,0.24,0.995,0.932,0.068,0.004,0.002,0.046,0.958,0.001,0.002,0,3.009,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.051,0.563,0.386,0.008,0.01,0.01
JC13-2,Y,30.15,38.51,1.76,0.2,0.16,1.58,28.15,0.06,0.18,0,100.75,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.98,0.941,0.067,0.003,0.002,0.039,0.98,0.002,0.003,0,3.017,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.048,0.605,0.347,0.008,0.011,0.011
JC13-2,Y,29.52,38.52,1.78,0.22,0.21,1.48,27.17,0.07,0.19,0,99.16,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.974,0.956,0.069,0.004,0.003,0.037,0.96,0.002,0.003,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.057,0.616,0.327,0.008,0.011,0.011
JC13-2,Y,30.55,38.59,1.51,0.2,0.29,1.71,27.15,0.04,0.13,0,100.18,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.996,0.946,0.058,0.003,0.003,0.042,0.948,0.001,0.002,0,3,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.065,0.543,0.392,0.009,0.011,0.011
JC13-2,Y,30.53,38.26,1.69,0.2,0.24,2.04,27.41,0.03,0.1,0,100.5,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.993,0.936,0.065,0.003,0.003,0.05,0.955,0.001,0.002,0,3.007,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.051,0.535,0.414,0.008,0.01,0.01
JC13-2,Y,29.79,39.32,1.43,0.18,0.2,1.69,27.44,0.04,0.2,0,100.26,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.973,0.966,0.055,0.003,0.002,0.041,0.96,0.001,0.003,0,3.004,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.054,0.539,0.407,0.009,0.011,0.011
JC13-2,Y,29.67,37.91,1.54,0.17,0.28,1.94,27.23,0.04,0.08,0,98.86,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.983,0.945,0.06,0.003,0.003,0.048,0.966,0.001,0.001,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0,0,0.012,0.055,0.524,0.421,0.008,0.01,0.011
JC13-2,Y,30.31,39.04,1.41,0.18,0.31,1.61,27.35,0.06,0.2,0,100.47,0.09,0.17,0.01,0.02,0.03,0.03,0.12,0.01,0.02,0.05,0.24,0.987,0.956,0.054,0.003,0.004,0.039,0.954,0.002,0.003,0,3.001,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.011,0.068,0.539,0.393,0.009,0.011,0.012
JC13-2,Y,29.25,37.06,1.85,0.14,0.27,1.98,27.58,0.06,0.1,0,98.29,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.976,0.93,0.073,0.002,0.003,0.05,0.986,0.002,0.002,0,3.024,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.045,0.566,0.389,0.007,0.01,0.01
JC13-2,Y,29.3,37.14,1.66,0.19,0.25,2.05,27.1,0,0.1,0.19,97.96,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.981,0.936,0.065,0.003,0.003,0.052,0.972,0,0.002,0.002,3.016,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0.001,0.012,0.052,0.53,0.419,0.008,0.01,0.01
JC13-2,Y,29.81,37.89,1.62,0.18,0.28,2.16,27.16,0,0.12,0,99.21,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.984,0.941,0.063,0.003,0.003,0.054,0.961,0,0.002,0,3.011,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.053,0.511,0.436,0.008,0.01,0.01
JC13-2,Y,29.89,38.08,1.68,0.14,0.13,1.97,27.5,0,0.13,0,99.52,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.983,0.942,0.065,0.002,0.002,0.049,0.969,0,0.002,0,3.013,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0,0.001,0,0.012,0.035,0.552,0.413,0.008,0.01,0.01
JC13-2,Y,28.83,37.44,1.72,0.21,0.31,1.86,27.31,0.04,0.15,0,97.87,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.968,0.945,0.068,0.004,0.004,0.047,0.982,0.001,0.002,0,3.021,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.061,0.554,0.384,0.008,0.01,0.01
JC13-2,Y,28.96,36.82,1.67,0.2,0.35,2.37,26.93,0.03,0.07,0,97.39,0.09,0.17,0.01,0.02,0.03,0.04,0.12,0.01,0.02,0.05,0.24,0.977,0.934,0.066,0.004,0.004,0.06,0.973,0.001,0.001,0,3.02,0.005,0.006,0.001,0.001,0.001,0.002,0.008,0.001,0.001,0,0.012,0.058,0.494,0.448,0.007,0.009,0.01
